<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.10	01:00:00	1.07306	1.07386	1.07289	1.07327	1839	0	0
2023.01.10	02:00:00	1.07328	1.07382	1.07207	1.07276	2919	0	0
2023.01.10	03:00:00	1.07275	1.07397	1.07262	1.07362	2934	0	0
2023.01.10	04:00:00	1.07363	1.07425	1.07212	1.07310	3348	0	0
2023.01.10	05:00:00	1.07311	1.07342	1.07258	1.07323	2267	0	0
2023.01.10	06:00:00	1.07323	1.07340	1.07280	1.07307	1551	0	0
2023.01.10	07:00:00	1.07307	1.07441	1.07296	1.07428	2457	0	0
2023.01.10	08:00:00	1.07428	1.07431	1.07263	1.07339	2753	0	0
2023.01.10	09:00:00	1.07346	1.07395	1.07219	1.07318	4505	0	0
2023.01.10	10:00:00	1.07318	1.07473	1.07312	1.07384	4912	0	0
2023.01.10	11:00:00	1.07385	1.07517	1.07293	1.07460	4575	0	0
2023.01.10	12:00:00	1.07460	1.07460	1.07341	1.07364	3363	0	0
2023.01.10	13:00:00	1.07364	1.07423	1.07318	1.07350	3072	0	0
2023.01.10	14:00:00	1.07350	1.07354	1.07154	1.07192	4030	0	0
2023.01.10	15:00:00	1.07193	1.07253	1.07121	1.07217	4123	0	0
2023.01.10	16:00:00	1.07217	1.07593	1.07216	1.07405	8850	0	0
2023.01.10	17:00:00	1.07404	1.07530	1.07218	1.07277	8380	0	0
2023.01.10	18:00:00	1.07279	1.07419	1.07241	1.07363	5720	0	0
2023.01.10	19:00:00	1.07362	1.07438	1.07297	1.07334	3335	0	0
2023.01.10	20:00:00	1.07330	1.07397	1.07277	1.07380	2449	0	0
2023.01.10	21:00:00	1.07381	1.07432	1.07364	1.07408	2075	0	0
2023.01.10	22:00:00	1.07409	1.07440	1.07306	1.07361	1908	0	0
2023.01.10	23:00:00	1.07367	1.07377	1.07321	1.07340	966	0	0
2023.01.11	00:00:00	1.07322	1.07357	1.07249	1.07340	3316	0	7
2023.01.11	01:00:00	1.07344	1.07391	1.07331	1.07386	914	0	0
2023.01.11	02:00:00	1.07386	1.07454	1.07373	1.07451	2204	0	0
2023.01.11	03:00:00	1.07451	1.07451	1.07255	1.07310	2482	0	0
2023.01.11	04:00:00	1.07306	1.07381	1.07268	1.07269	2097	0	0
2023.01.11	05:00:00	1.07269	1.07368	1.07266	1.07337	1664	0	0
2023.01.11	06:00:00	1.07337	1.07398	1.07321	1.07386	1187	0	0
2023.01.11	07:00:00	1.07387	1.07569	1.07370	1.07476	2140	0	0
2023.01.11	08:00:00	1.07476	1.07551	1.07458	1.07458	2060	0	0
2023.01.11	09:00:00	1.07457	1.07574	1.07436	1.07467	3764	0	0
2023.01.11	10:00:00	1.07467	1.07488	1.07289	1.07297	4545	0	0
2023.01.11	11:00:00	1.07297	1.07482	1.07254	1.07415	3848	0	0
2023.01.11	12:00:00	1.07418	1.07512	1.07400	1.07491	3060	0	0
2023.01.11	13:00:00	1.07491	1.07552	1.07436	1.07483	3299	0	0
2023.01.11	14:00:00	1.07483	1.07488	1.07281	1.07405	3539	0	0
2023.01.11	15:00:00	1.07407	1.07527	1.07392	1.07498	4236	0	0
2023.01.11	16:00:00	1.07498	1.07764	1.07451	1.07696	5972	0	0
2023.01.11	17:00:00	1.07697	1.07748	1.07520	1.07550	5875	0	0
2023.01.11	18:00:00	1.07552	1.07618	1.07376	1.07390	3106	0	0
2023.01.11	19:00:00	1.07390	1.07484	1.07363	1.07468	2167	0	0
2023.01.11	20:00:00	1.07468	1.07677	1.07351	1.07532	3439	0	0
2023.01.11	21:00:00	1.07532	1.07637	1.07477	1.07633	1991	0	0
2023.01.11	22:00:00	1.07633	1.07633	1.07526	1.07539	1499	0	0
2023.01.11	23:00:00	1.07538	1.07580	1.07519	1.07562	927	0	0
2023.01.12	00:00:00	1.07538	1.07592	1.07489	1.07550	2530	0	6
2023.01.12	01:00:00	1.07556	1.07674	1.07543	1.07654	2355	0	0
2023.01.12	02:00:00	1.07655	1.07745	1.07601	1.07613	3108	0	0
2023.01.12	03:00:00	1.07615	1.07675	1.07605	1.07667	3136	0	0
2023.01.12	04:00:00	1.07667	1.07689	1.07614	1.07670	2211	0	0
2023.01.12	05:00:00	1.07670	1.07712	1.07648	1.07685	1419	0	0
2023.01.12	06:00:00	1.07686	1.07735	1.07661	1.07716	1144	0	0
2023.01.12	07:00:00	1.07716	1.07753	1.07622	1.07627	1949	0	0
2023.01.12	08:00:00	1.07626	1.07689	1.07566	1.07573	2351	0	0
2023.01.12	09:00:00	1.07571	1.07653	1.07556	1.07626	3373	0	0
2023.01.12	10:00:00	1.07626	1.07645	1.07455	1.07481	3857	0	0
2023.01.12	11:00:00	1.07478	1.07735	1.07427	1.07653	4511	0	0
2023.01.12	12:00:00	1.07653	1.07684	1.07516	1.07625	3594	0	0
2023.01.12	13:00:00	1.07624	1.07665	1.07589	1.07617	2891	0	0
2023.01.12	14:00:00	1.07617	1.07665	1.07550	1.07627	3679	0	0
2023.01.12	15:00:00	1.07631	1.08386	1.07292	1.08294	13185	0	0
2023.01.12	16:00:00	1.08297	1.08339	1.07519	1.07675	13390	0	0
2023.01.12	17:00:00	1.07677	1.08096	1.07637	1.08068	12022	0	0
2023.01.12	18:00:00	1.08069	1.08259	1.08023	1.08224	8483	0	0
2023.01.12	19:00:00	1.08224	1.08490	1.08213	1.08488	5541	0	0
2023.01.12	20:00:00	1.08488	1.08668	1.08464	1.08556	5937	0	0
2023.01.12	21:00:00	1.08556	1.08560	1.08394	1.08492	4205	0	0
2023.01.12	22:00:00	1.08491	1.08523	1.08413	1.08522	3547	0	0
2023.01.12	23:00:00	1.08526	1.08551	1.08488	1.08510	1272	0	0
2023.01.13	00:00:00	1.08413	1.08502	1.08395	1.08486	471	0	0
